	extended_tweet.full_text	text	user.screen_name	user.verified	user.followers_count	entities.hashtags	created_at	favorite_count	retweet_count
0	For every 100,000 retweets this gets Bell will donate $5000 towards mental health initiatives. Lets see how much we can raise! #BellLetsTalk	For every 100,000 retweets this gets Bell will donate $5000 towards mental health initiatives. Lets see how much we can raise! #BellLetsTalk	BeII_LetsTaIk	False	3131	[{'text': 'BellLetsTalk', 'indices': [127, 140]}]	Wed Jan 30 04:42:05 +0000 2019	14563	85047
1	Reminder that for every #RallyForRose shirt we sell between now and the #RoseParade at #SDCC on 7/20, we’ll donate a portion to @NAPAWF! Even if you’re not in San Diego, you can still show your support! https://t.co/IcyN6LNZn8 https://t.co/5NO5AjRMP1	Reminder that for every #RallyForRose shirt we sell between now and the #RoseParade at #SDCC on 7/20, we’ll donate… https://t.co/znjRHhPJPS	TheNerdsofColor	False	31980	[{'text': 'RallyForRose', 'indices': [24, 37]}, {'text': 'RoseParade', 'indices': [72, 83]}, {'text': 'SDCC', 'indices': [87, 92]}]	Thu Jul 11 00:02:38 +0000 2019	29	17
2	"😳 ONE PERSON WINS ALL OF THIS...

...and this isn’t even everything.

For every $5 you donate, we’ll give you one free entry. Winner announced Saturday 7/20/19.

Oh... and if this gets 🔄’d at least 100 times, someone gets a free entry. 🙌

DONATE ⤵️
https://t.co/3EpIzNYNm2 https://t.co/42vCRdR6AL"	"😳 ONE PERSON WINS ALL OF THIS...

...and this isn’t even everything.

For every $5 you donate, we’ll give you one f… https://t.co/uPeDw1negl"	CrackinWax	False	4649	[]	Fri Jul 12 01:47:11 +0000 2019	22	59
3	The lovely @OtiMabuse has laid down the challenge. You do the dancing. We do the donating 1. Learn the move. 2. Share with #TescoDanceBeats 3. We’ll donate £10 for every upload (up to max of 100K) to support @CR_UK, @Thebhf @diabetesuk T&amp;Cs: https://t.co/UoPBt2bvJO … https://t.co/yokSpIbw7z	The lovely @OtiMabuse has laid down the challenge. You do the dancing. We do the donating 1. Learn the move. 2. Sha… https://t.co/Li9ENnmvMq	Tesco	True	549722	[]	Tue Jul 09 11:03:07 +0000 2019	66	21
4	We're partnering with @SSS_Foundation to help provide treatment options to those with scoliosis. You can help too by donating a selfie with @donateaphoto! For each photo donated we'll donate $1. Discover more: https://t.co/MwzHwktjeO https://t.co/JpVB5qBlml	We're partnering with @SSS_Foundation to help provide treatment options to those with scoliosis. You can help too b… https://t.co/9oMd0tWoWF	DePuySynthes	False	5117	[]	Fri Jul 12 19:16:58 +0000 2019	2	3
5	"WXNA is the non-profit of the month at @TNBrewWorks in July. TBW will donate $1 for every beer sold on Sundays in July to WXNA! Good beer, good peeps, good cause? We'll drink to that! 

809 Ewing Ave, right around the corner from Third Man Records. Belly up noon–8 p.m. tomorrow! https://t.co/1gA5H8n77l"	WXNA is the non-profit of the month at @TNBrewWorks in July. TBW will donate $1 for every beer sold on Sundays in J… https://t.co/70Wldgmnxr	WXNAfm	False	2759	[]	Sat Jul 13 16:45:00 +0000 2019	2	1
6	"Next week marks the start of Dance Beats, supporting @CR_UK, @DiabetesUK and @TheBHF – learn the routine from @AstonMerrygold, post using #TescoDanceBeats and we’ll donate £10 for every post up to £100k. 

Text DANCE to 70507 to give £5 [16+ only] T&amp;Cs: https://t.co/ya1gAhRCD0 https://t.co/5vCmtRLVst"	Next week marks the start of Dance Beats, supporting @CR_UK, @DiabetesUK and @TheBHF – learn the routine from… https://t.co/NQSPBwzQPY	tesconews	True	49671	[]	Fri Jul 12 15:30:00 +0000 2019	24	21
7	For every guest who rides the Kilimanjaro Safari Expedition during opening week of Lion King, Disney will donate $2 to the lion recovery fund. We continue to stan.	For every guest who rides the Kilimanjaro Safari Expedition during opening week of Lion King, Disney will donate $2… https://t.co/xh3cJxQIZq	_laurengray__	False	433	[]	Sat Jul 13 15:30:02 +0000 2019	5	1
8	For every RT we’ll donate $1, up to $1.5M, in support of first responders to the @GarySiniseFound (1.18.19 – 2.8.19). At age 5, NFL star @10AJMcCarron was in a jet ski accident. First responders were there to answer the call. Meet The Team That Wouldn’t Be Here. #AllOurThanks	For every RT we’ll donate $1, up to $1.5M, in support of first responders to the @GarySiniseFound (1.18.19 – 2.8.19… https://t.co/PCk72PPgFn	verizon	True	1659444	[]	Fri Jan 18 21:33:45 +0000 2019	51116	173227
9	"Thank you to each &amp; everyone for your donations in honor to Donnies Bday to ! It means a lot &amp; i‘m so #grateful ❤️
#DonniesBdayRaffle 💖 #BHLove
I hope we‘ll collect a lot more 💰 in honor to Donnies Bday! 
DONATE &amp; WIN 💞 ➡️ https://t.co/GEhBa0Z43S 
Make DW’s Bday great again!🌟 https://t.co/jE8cCCqcuZ"	Thank you to each &amp; everyone for your donations in honor to Donnies Bday to ! It means a lot &amp; i‘m so #grateful ❤️… https://t.co/5DR0D74E5T	ElaHall617	False	2614	[{'text': 'grateful', 'indices': [110, 119]}]	Wed Jul 10 17:05:36 +0000 2019	12	7
