	text	user.screen_name	created_at	favorite_count	in_reply_to_status_id	retweeted_status	matching_rules
0	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	1James_Spencer	Tue Jul 02 20:50:24 +0000 2019	0			[{'tag': None}]
1	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	mcmarto	Wed Jun 19 06:35:19 +0000 2019	0			[{'tag': None}]
2	RT @TripwireInc: Help us give back to InfoSec! Simply RT to support @Cyberchallenge, and we’ll donate £1 for every retweet and post using #…	perlinwarp	Tue Jun 18 22:05:36 +0000 2019	0			[{'tag': None}]
3	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	millymollymo	Mon Jun 17 11:32:54 +0000 2019	0			[{'tag': None}]
4	RT @TripwireInc: Help us give back to InfoSec! Simply RT to support @Cyberchallenge, and we’ll donate £1 for every retweet and post using #…	NilsIRL	Sat Jun 15 21:59:15 +0000 2019	0			[{'tag': None}]
5	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	DruWatts	Fri Jun 14 20:53:00 +0000 2019	0			[{'tag': None}]
6	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	codeChap	Thu Jun 13 09:38:19 +0000 2019	0			[{'tag': None}]
7	RT @ZephyrhillsWtr: Retweet and help us keep FL beautiful! We’ll donate $1 for every RT to @KeepTBB &amp; @TampaBayWatch (total donation $50k)…	Jessica24991432	Wed Jun 12 21:02:47 +0000 2019	0			[{'tag': None}]
8	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	DuncanSmeed	Wed Jun 12 14:04:02 +0000 2019	0			[{'tag': None}]
9	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	ClaireGreenwoo6	Wed Jun 12 13:16:16 +0000 2019	0			[{'tag': None}]
10	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	tomholecza	Wed Jun 12 09:02:33 +0000 2019	0			[{'tag': None}]
11	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	windy54	Wed Jun 12 07:28:54 +0000 2019	0			[{'tag': None}]
12	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	mannzy38	Wed Jun 12 07:16:27 +0000 2019	0			[{'tag': None}]
13	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	jockaayush	Wed Jun 12 06:03:50 +0000 2019	0			[{'tag': None}]
14	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	davidames	Tue Jun 11 23:37:19 +0000 2019	0			[{'tag': None}]
15	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	M1st3r_C	Tue Jun 11 23:20:54 +0000 2019	0			[{'tag': None}]
16	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	MaddistonC	Tue Jun 11 21:16:43 +0000 2019	0			[{'tag': None}]
17	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	CodeClubNW	Tue Jun 11 21:06:25 +0000 2019	0			[{'tag': None}]
18	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	KyleJwilke	Tue Jun 11 21:03:52 +0000 2019	0			[{'tag': None}]
19	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	UXinsightsdude	Tue Jun 11 20:53:01 +0000 2019	0			[{'tag': None}]
20	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	CodeClubSW	Tue Jun 11 20:50:28 +0000 2019	0			[{'tag': None}]
21	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	CodeClubAus	Tue Jun 11 20:46:58 +0000 2019	0			[{'tag': None}]
22	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	rdhayler	Tue Jun 11 20:28:45 +0000 2019	0			[{'tag': None}]
23	RT @TripwireInc: Want to help us give back to InfoSec? Just RT to support @CodeClub, and we’ll donate £1 for every retweet and post using #…	PiHardware	Tue Jun 11 20:02:30 +0000 2019	0			[{'tag': None}]
