	extended_tweet.full_text	retweet_count	user.screen_name	user.verified	user.followers_count	entities.hashtags	created_at	favorite_count
0	"Our 1st giveaway!!! One lucky winner will win a B.A.P Noir album. 

Donate $5 + to 2nd B.A.P school (link in bio). Every $5 =1 raffle entry 

Fill Donation form/sent us a screenshot proof 

Remember that we're better together! Together we can help build another school. Thank you! https://t.co/ecYqzr9pdK"	42	PTW_Togetherot6	False	395	[]	Sun Jun 30 16:17:14 +0000 2019	43
1	GIVE the rainbow. TASTE the rainbow! 🌈 We’re teaming up with @TrueColorsUnite to help end youth homelessness in the LGBTQ+ community. For every LIKE from 6/24/19 – 6/30/19, we will donate $1 up to a max of $10,000 to help support the cause. #Pride2019 https://t.co/a0fxo7tK8t	434	Skittles	True	392024	[]	Mon Jun 24 13:45:29 +0000 2019	1586
2	"This is an extremely important cause!

Help us to set up our own Film and Sound Studio in which we'll produce exclusive Films and Songs in English for Palestine!

Here's a link to donate: https://t.co/JbeqkYTwEM 

If each one of our supporters donated $1, we'll meet our goal https://t.co/5Of33hMsrP"	14	AhmedShameya	False	7356	[]	Sun Jun 30 22:57:05 +0000 2019	19
3	"🚨Happy Last Day of Quarter🚨

We’re having a staff competition on the @KamalaHarris campaign and so here’s my ask: pitch in what you can today $1, $5, $10. 

Every bit will help Kamala build on debate momentum AND will help me beat @emmyruiz &amp; @JKazadi 

https://t.co/rGpN29feLM"	50	adamslily	True	49562	[]	Sun Jun 30 14:19:04 +0000 2019	133
4	WE NEED YOUR HELP! We need to raise $1,300 by 8/31! Every person who donates will be entered into a drawing to win a one of a kind special prize. Donations can be made by visiting https://t.co/FsRigpY1Kf &amp; clicking the donate button. #dfwcaninesd #servethosewhoserved #servicedogs	3	DFWServiceDogs	False	572	[]	Thu Aug 23 18:27:09 +0000 2018	3
5	Snap a pic at our NYC Pride mural (5th Ave &amp; 20th St)! Tag us on Instagram or Twitter with #ProgressForPride. 🏳‍🌈 For every post this month, we’ll donate $1 to True Colors United to support LGBTQ homeless youth, up to $10,000. https://t.co/6ZM3cdTFb6	289	LoveMySilk	True	48635	[{'text': 'ProgressForPride', 'indices': [95, 112]}]	Sun Jun 09 20:26:18 +0000 2019	2096
6	"5 DAYS TO GO! If we don't reach £50k by July 1st, we won't be able to achieve our aim of never having a pump out of action.

Every £ you donate will be matched by @Oxford_GCRF - together we can make a difference! #water4all. Help today: https://t.co/GDHz7SRbkY https://t.co/qRJfqLwqQe"	5	OxReach	False	1022	[]	Wed Jun 26 09:15:06 +0000 2019	3
7	Join the fight for #LGBTequality this June during #PrideMonth &amp; #Stonewall50. This month, for every #McAfeePride post, we'll donate to #LGBT causes. Like &amp; RT to get involved now. #LifeAtMcAfee https://t.co/rKH4zXFGLm	17	McAfee	True	112456	[{'text': 'LGBTequality', 'indices': [19, 32]}, {'text': 'PrideMonth', 'indices': [50, 61]}, {'text': 'Stonewall50', 'indices': [68, 80]}, {'text': 'McAfeePride', 'indices': [104, 116]}]	Tue Jun 18 22:02:44 +0000 2019	29
8	"Optifresh crystal white is a must have in every home. Trust me you will thank me after trying it. We donate to school children when you partronize us too. 
#TwitterVendors https://t.co/bQdIBg8sxg"	9	Cyamahmg	False	767	[]	Thu Jun 27 18:57:52 +0000 2019	6
9	"This is an extremely important cause!

Help us to set up our own Film and Sound Studio in which we'll produce exclusive Films and Songs in English for Palestine!!

Here's a link to donate: https://t.co/rBtU62UXd6

If each one of our supporters donated $1, we'll meet our goal! https://t.co/dcfdifDMJR"	32	FalastinVoices	False	4695	[]	Fri Jun 28 20:49:20 +0000 2019	35
10	🏖🐶🐾🚌 SUMMER ROAD TRIP! For every $500 raised (up to $5,000 through July 31st) we will get a $500 match and get closer to the beach! All donations count toward the match! https://t.co/2wp64DLqvz Please DONATE! Please RE-TWEET! Get your donations MATCHED! Thank you! #RADARdogs https://t.co/Wuw5kjlMcT	2	RADARDogs	False	545	[]	Sun Jun 30 19:35:58 +0000 2019	0
11	"🚨RAFFLE TODAY (SUN)We have the lovely #vegan Limited Edition ToteBag generously provided 2us by @miomojo_italia 💚ALL PROCEEDS will go towards r down payment for the farm!Each raffle entry is $5-donate $20=4 entries! https://t.co/0JbV30x7Au  THANKU ALL! 
Ends 2nite 11:59PM EST! https://t.co/VjJ8TXEtQK"	4	RileyFarmRescue	False	3295	[{'text': 'vegan', 'indices': [38, 44]}]	Sun Jun 30 14:36:18 +0000 2019	4
12	"🚨WIN A BAG JUST4 donating $5! RAFFLE TODAY (SUNDAY) We have the lovely #vegan Limited Edition Tote Bag generously provided to us by @miomojo_italia 💚Will go2 down payment for farm! Each raffle entry is$5-donate
;$20 = 4 entries! https://t.co/0JbV30x7Au  
Ends2NIGHT 11:59pmEST! https://t.co/fKTWU3DmHf"	2	RileyFarmRescue	False	3295	[{'text': 'vegan', 'indices': [71, 77]}]	Sun Jun 30 20:49:29 +0000 2019	2
13	"@BrexiteerHappy @SocialM85897394 @DavidLammy do you even realise the harm you have caused with you disgusting ""white saviour"" comments. We have taken you at you word and, unfortunately, black people do not do the charity thing like white people do. So many will due now. Donate your salary every month?Total idiot"	2	LovattWinifred	False	223	[]	Sun Jun 30 21:07:42 +0000 2019	2
14	Hola, Friends! We have until midnight 🕛 tonight to raise $ before our Campaign Finance deadline!!⏰ Will you donate $7️⃣ bucks, $1️⃣7️⃣, or any amount you are able to our campaign? 🙏🏽 No amount is too small. Every💲makes a difference. Contribute ▶️: https://t.co/0J0JvVL4hM https://t.co/nZtuS7IGaw	1	Victoria4Texas	True	8531	[]	Sun Jun 30 21:02:05 +0000 2019	2
15	For each game I don't go to I will donate my admittance cost to a mental health charity, I know its not a lot but if we all did it then they will benefit far more than a narcissist will.	6	atommo66	False	303	[]	Sun Jun 30 12:41:28 +0000 2019	55
16	It’s #NationalFosterCareMonth. For every retweet of this tweet, we will donate $1 – up to $10K – to the organization @KidsInSpotlight. Even better, @ComedyCentral will match that donation, and @jimjefferies will personally match the donation as well. https://t.co/1a1cf1Kasn	11845	jefferiesshow	True	49704	[{'text': 'NationalFosterCareMonth', 'indices': [5, 29]}]	Tue May 07 17:56:35 +0000 2019	4619
17	"Our fundraiser to help provide a lawyer to children &amp; families experiencing poverty ends tonight! 

We just need twenty donors to donate $25 each and we can reach our Twitter goal of $500. All donations are currently matched. Will you step up? 

Give now: https://t.co/5CWHyQRO6R https://t.co/qVKdeMKmGO"	1	nylag	False	3113	[]	Sun Jun 30 16:31:37 +0000 2019	0
18	We've done it! £7520! Thank you thank you thank you to everyone who got us to this point! The crowdfunder page is still going to be live for a few more weeks though and every £ you donate will get us £1 closer to buying this land! https://t.co/MrjDE7Z2GT	4	AvonNeedsTrees	False	53	[]	Sat Jun 29 13:30:41 +0000 2019	11
19	The party’s just getting started. Keep celebrating #JuneDairyMonth by using the hashtag #GiveMilkMoney all month long. Every time you post, we will donate a gallon of milk to help kids in need.	24	dfamilk	False	4444	[{'text': 'JuneDairyMonth', 'indices': [51, 66]}, {'text': 'GiveMilkMoney', 'indices': [88, 102]}]	Mon Jun 17 18:19:26 +0000 2019	38
20	"@HawkDiesel1906 @KamalaHarris @JoanieVee1 @DrDinD @RashmiGaur9 @tweetMalena @marsha_vivinate @ScarletAvengers @janrobinjackson @Sludgeycourt @Kalestine Thank you!! It's the end of quarter 2, and we’re having a staff fundraising competition on the 
campaign -- can each of you donate $1? That's all it takes, and every bit will help!

https://t.co/ejNijbV1CB"	2	nathanpevans	False	1971	[]	Sun Jun 30 19:04:20 +0000 2019	8
21	It’s JUNE 30th today will conclude our fundraiser I challenge EACH student to just donate 1$ To get change we must be the change FAMILY LETS FINISH STRONG!!🔰even reach out out to your mom dads auntie uncles neighbors friends boyfriend and girlfriends and those side chicks💚💛	4	shatreice	False	735	[]	Sun Jun 30 18:01:05 +0000 2019	3
22	"In celebration of our supporting partnership with @Refill we are offering an exclusive discount on our Spirit blue machine AND we will donate £15 to Refill for every one sold! 🌎✨

https://t.co/4Hn7zyrK5P"	5	SodaStreamUK	True	20970	[]	Fri Jun 28 09:57:58 +0000 2019	11
23	We want to celebrate #EpicPride by supporting LGBTQ students! For every RT this tweet gets, we will donate $.25 (up to $10k!) to @PointFoundation, the National LGBTQ Scholarship Fund. Find out more about the donation and our Pride celebration: https://t.co/jmf3fh8Naa https://t.co/oUL6oqkE3k	1322	EpicReads	True	195103	[{'text': 'EpicPride', 'indices': [21, 31]}]	Sat Jun 01 12:55:07 +0000 2019	495
24	"📢 𝗜𝗠𝗣𝗢𝗥𝗧𝗔𝗡𝗧 𝗗𝗘𝗕𝗔𝗧𝗘 𝗡𝗢𝗧𝗘 📢

The presidential race is critical.

But if we don't flip the Senate, Mitch McConnell and Lindsey Graham will block EVERYTHING we believe in. Every last bit.

We must win the Senate.

⬇️ Donate $5 right now ⬇️
https://t.co/XBkHP89DIW"	1945	harrisonjaime	True	145216	[]	Wed Jun 26 22:50:06 +0000 2019	4140
25	Chris&amp;i don't have it easy but we love each other this isn't where we wanted 2b at this point inour lives we had dreams&amp;plans God had a different plan&amp;journey we pray that God will make away4him2have his heart&amp;lung transplant surgery please pray RT&amp;donate https://t.co/98c72fjGka https://t.co/XgAKrb5x86	11	dawn8_dawn	False	18354	[]	Sun Jun 30 01:02:32 +0000 2019	17
